epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.099,3.77207,4.62251,3.95266,0.00188,0.09979,0.00063,0.00012,3.57036,4.30153,3.75528,3.32857e-05,3.32857e-05,0.0667476
2,241.677,3.79083,4.48684,3.65064,0.00207,0.1121,0.00056,0.0001,3.56521,4.25543,3.61059,6.55198e-05,6.55198e-05,0.0334465
3,354.197,3.77783,4.44803,3.5442,0.0018,0.11196,0.00049,9e-05,3.5599,4.23756,3.54969,9.6654e-05,9.6654e-05,0.000144273
4,465.733,3.77512,4.43478,3.51442,0.00182,0.11181,0.00052,0.0001,3.55878,4.20442,3.52295,9.505e-05,9.505e-05,9.505e-05
5,577.001,3.77263,4.42237,3.49918,0.00243,0.12055,0.0011,0.00027,3.55507,4.18601,3.50567,9.34e-05,9.34e-05,9.34e-05
6,688.125,3.76244,4.40458,3.49442,0.0026,0.117,0.00072,0.00017,3.55288,4.17906,3.49417,9.175e-05,9.175e-05,9.175e-05
7,799.279,3.76248,4.39389,3.4897,0.00267,0.14077,0.00099,0.00019,3.54201,4.16464,3.48723,9.01e-05,9.01e-05,9.01e-05
8,911.298,3.76646,4.3794,3.47714,0.00236,0.15269,0.0016,0.00029,3.52931,4.25444,3.48942,8.845e-05,8.845e-05,8.845e-05
9,1023.5,3.7591,4.3587,3.46072,0.00379,0.00947,0.00149,0.00033,3.52039,4.18562,3.48379,8.68e-05,8.68e-05,8.68e-05
10,1135.7,3.74337,4.3387,3.44921,0.0026,0.16961,0.00203,0.00049,3.50786,4.2494,3.47369,8.515e-05,8.515e-05,8.515e-05
11,1248.76,3.73178,4.32795,3.44712,0.00267,0.17604,0.00281,0.00075,3.50004,4.19705,3.46567,8.35e-05,8.35e-05,8.35e-05
