epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.746,3.70709,4.49814,3.64806,0.21245,0.01226,0.00286,0.00063,3.34481,4.03236,3.16711,0.00332857,0.00332857,0.0700429
2,305.631,2.77021,3.61249,2.66653,0.22925,0.17695,0.12419,0.04708,2.2978,3.07079,2.37173,0.00663992,0.00663992,0.0400209
3,449.792,2.14709,2.75448,2.12139,0.35222,0.28833,0.24844,0.10307,1.99513,2.61117,2.07725,0.00992927,0.00992927,0.00997689
4,590.318,1.93057,2.37565,1.91168,0.45911,0.37725,0.36212,0.1669,1.84328,2.2288,1.90795,0.009901,0.009901,0.009901
5,731.009,1.80876,2.13853,1.79228,0.54759,0.41603,0.43946,0.21451,1.74939,2.03202,1.79809,0.009868,0.009868,0.009868
6,874.123,1.73772,2.00501,1.725,0.61754,0.46332,0.49578,0.2553,1.63568,1.90756,1.69969,0.009835,0.009835,0.009835
7,1016.02,1.67871,1.88321,1.66769,0.60012,0.48364,0.51147,0.2749,1.61743,1.84562,1.66655,0.009802,0.009802,0.009802
8,1157.48,1.64422,1.80308,1.6364,0.64213,0.54224,0.58805,0.32418,1.52534,1.64964,1.58705,0.009769,0.009769,0.009769
9,1299.28,1.616,1.72321,1.60748,0.66273,0.5296,0.58295,0.32538,1.53258,1.65495,1.58252,0.009736,0.009736,0.009736
10,1440.2,1.5845,1.6733,1.58313,0.68499,0.54544,0.60539,0.33789,1.52116,1.5742,1.55891,0.009703,0.009703,0.009703
11,1581.36,1.56091,1.61899,1.56456,0.69924,0.56784,0.63418,0.37225,1.45469,1.46132,1.52115,0.00967,0.00967,0.00967
12,1722.92,1.54137,1.5863,1.55425,0.71767,0.58328,0.64749,0.38345,1.4327,1.42656,1.50203,0.009637,0.009637,0.009637
