epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.349,3.68759,4.44334,3.59542,0.22203,0.02116,0.00542,0.00126,3.28173,4.06827,3.23742,0.00332857,0.00332857,0.0700429
2,245.253,2.95211,3.70098,2.83111,0.23698,0.13523,0.0757,0.02714,2.50612,3.50776,2.60972,0.00663992,0.00663992,0.0400209
3,358.51,2.3274,2.99239,2.26848,0.31094,0.22762,0.18657,0.07156,2.20255,2.83739,2.22834,0.00992927,0.00992927,0.00997689
4,471.811,2.06641,2.56217,2.00303,0.44163,0.34083,0.32156,0.14213,1.93036,2.36686,1.95496,0.009901,0.009901,0.009901
5,585.298,1.92296,2.29417,1.86042,0.51276,0.40728,0.41363,0.19567,1.79578,2.13665,1.80618,0.009868,0.009868,0.009868
6,699.091,1.8365,2.13763,1.77854,0.5599,0.42876,0.44934,0.22439,1.72295,2.00392,1.74624,0.009835,0.009835,0.009835
7,812.438,1.76612,2.00915,1.70851,0.6268,0.44459,0.50303,0.26009,1.65374,1.87859,1.66039,0.009802,0.009802,0.009802
8,926.193,1.7232,1.92347,1.66477,0.63049,0.49463,0.54049,0.28412,1.60696,1.78099,1.636,0.009769,0.009769,0.009769
9,1039.2,1.68692,1.83651,1.62828,0.65517,0.51863,0.56846,0.31274,1.55882,1.69862,1.56578,0.009736,0.009736,0.009736
10,1151.84,1.65304,1.77844,1.59924,0.6573,0.53574,0.58575,0.31872,1.55582,1.65117,1.55802,0.009703,0.009703,0.009703
11,1265.21,1.62126,1.71863,1.56985,0.67418,0.53637,0.59485,0.33408,1.51712,1.60015,1.53419,0.00967,0.00967,0.00967
12,1378.3,1.60254,1.68415,1.55509,0.71751,0.56847,0.63618,0.36819,1.46894,1.48723,1.48274,0.009637,0.009637,0.009637
13,1491.53,1.57847,1.64018,1.52526,0.70673,0.56382,0.63368,0.36603,1.48028,1.49875,1.48306,0.009604,0.009604,0.009604
14,1603.93,1.56269,1.60549,1.51283,0.73488,0.57741,0.64827,0.38187,1.44541,1.43626,1.4537,0.009571,0.009571,0.009571
15,1716.23,1.5451,1.57427,1.49707,0.75541,0.5828,0.67102,0.39903,1.42169,1.39138,1.43543,0.009538,0.009538,0.009538
