epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.042,3.67712,4.4178,3.57633,0.02988,0.01877,0.00466,0.00115,3.25895,4.12717,3.2791,0.00332857,0.00332857,0.0700429
2,286.213,2.90993,3.63044,2.83475,0.15012,0.14925,0.0894,0.03204,2.50149,3.24634,2.58836,0.00663992,0.00663992,0.0400209
3,417.049,2.28535,2.9099,2.29735,0.37162,0.27264,0.23007,0.09224,2.10531,2.69869,2.25048,0.00992927,0.00992927,0.00997689
4,545.935,2.00189,2.47615,2.02211,0.47813,0.38763,0.37593,0.16851,1.86237,2.19204,1.96223,0.009901,0.009901,0.009901
5,674.816,1.86469,2.21001,1.8856,0.55798,0.41995,0.44639,0.21698,1.74542,2.00883,1.85124,0.009868,0.009868,0.009868
6,803.565,1.78273,2.05588,1.8048,0.60573,0.46279,0.4989,0.25459,1.6654,1.8679,1.77199,0.009835,0.009835,0.009835
7,932.296,1.72492,1.93462,1.74328,0.6332,0.4716,0.51725,0.27541,1.63271,1.80797,1.71346,0.009802,0.009802,0.009802
8,1061.26,1.68545,1.84886,1.70079,0.63416,0.51292,0.55909,0.29831,1.58031,1.75594,1.66727,0.009769,0.009769,0.009769
9,1189.77,1.65248,1.76817,1.66405,0.67154,0.53021,0.5891,0.32839,1.51488,1.62339,1.60565,0.009736,0.009736,0.009736
10,1318.82,1.62026,1.71442,1.63479,0.68167,0.54302,0.59963,0.33666,1.52438,1.56996,1.59224,0.009703,0.009703,0.009703
11,1447.93,1.59156,1.65915,1.61024,0.70428,0.55924,0.62375,0.36469,1.46639,1.49612,1.55202,0.00967,0.00967,0.00967
12,1576.61,1.56944,1.62018,1.59478,0.72811,0.57914,0.65413,0.38399,1.45502,1.43144,1.53752,0.009637,0.009637,0.009637
13,1705.29,1.54932,1.57698,1.57295,0.72978,0.60033,0.6682,0.39967,1.42764,1.40107,1.51223,0.009604,0.009604,0.009604
14,1833.94,1.5351,1.55247,1.56087,0.73087,0.59295,0.66807,0.40165,1.41535,1.37818,1.50254,0.009571,0.009571,0.009571
15,1962.22,1.51992,1.52367,1.5453,0.74993,0.60525,0.68702,0.415,1.40108,1.34449,1.48919,0.009538,0.009538,0.009538
16,2091.13,1.50543,1.48889,1.53158,0.75157,0.61419,0.68575,0.41432,1.37321,1.31921,1.46121,0.009505,0.009505,0.009505
17,2219.93,1.49603,1.46545,1.51728,0.75071,0.62271,0.69869,0.42999,1.35238,1.28921,1.44906,0.009472,0.009472,0.009472
18,2349.25,1.48151,1.42834,1.51049,0.76175,0.62012,0.69686,0.42986,1.35149,1.26532,1.44662,0.009439,0.009439,0.009439
19,2477.71,1.46581,1.40884,1.49977,0.75786,0.64525,0.71787,0.44678,1.34409,1.22514,1.43073,0.009406,0.009406,0.009406
20,2605.94,1.4625,1.39642,1.48842,0.77603,0.63556,0.72142,0.45085,1.31966,1.20822,1.41237,0.009373,0.009373,0.009373
21,2734.09,1.44859,1.37446,1.4807,0.77696,0.64326,0.72317,0.45428,1.3091,1.18888,1.40452,0.00934,0.00934,0.00934
22,2862.41,1.43797,1.37233,1.47377,0.7749,0.65222,0.73374,0.46043,1.30401,1.17299,1.3967,0.009307,0.009307,0.009307
23,2990.68,1.43416,1.33931,1.46401,0.7946,0.65231,0.74251,0.46906,1.28898,1.15237,1.38067,0.009274,0.009274,0.009274
24,3118.39,1.42571,1.33081,1.45634,0.7851,0.65879,0.73945,0.47112,1.27672,1.13528,1.37279,0.009241,0.009241,0.009241
