epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.605,3.73952,4.52522,3.72607,0.00323,0.00522,0.00094,0.00019,3.38748,4.16531,3.30057,0.00332857,0.00332857,0.0700429
2,365.661,3.01648,3.7753,2.83211,0.14552,0.15599,0.09016,0.0341,2.41929,3.31144,2.4673,0.00663992,0.00663992,0.0400209
3,533.359,2.28841,2.99317,2.20312,0.3477,0.26647,0.20077,0.07916,2.11092,2.8402,2.14517,0.00992927,0.00992927,0.00997689
4,698.024,2.02709,2.53283,1.94488,0.47982,0.3602,0.35451,0.16178,1.86436,2.25859,1.85464,0.009901,0.009901,0.009901
5,862.839,1.8811,2.25641,1.80648,0.52063,0.40476,0.41299,0.19956,1.7738,2.07986,1.77674,0.009868,0.009868,0.009868
6,1027.36,1.8018,2.09416,1.73425,0.58881,0.44687,0.47631,0.24221,1.67423,1.93335,1.69949,0.009835,0.009835,0.009835
7,1190.87,1.732,1.96442,1.67041,0.62702,0.46583,0.50903,0.26799,1.62256,1.86553,1.62978,0.009802,0.009802,0.009802
8,1354.48,1.69235,1.86931,1.63486,0.63249,0.52181,0.57032,0.3091,1.57564,1.70045,1.58414,0.009769,0.009769,0.009769
9,1517.65,1.65597,1.78162,1.60123,0.66288,0.53645,0.58718,0.3279,1.53084,1.62284,1.55551,0.009736,0.009736,0.009736
10,1680.78,1.62213,1.72353,1.5736,0.70616,0.54316,0.61103,0.3446,1.49258,1.5359,1.51354,0.009703,0.009703,0.009703
11,1844.92,1.59181,1.66648,1.55044,0.69369,0.55486,0.62359,0.35962,1.46787,1.51786,1.4964,0.00967,0.00967,0.00967
12,2007.96,1.57156,1.62918,1.53699,0.72511,0.58789,0.65623,0.3876,1.42846,1.43044,1.45902,0.009637,0.009637,0.009637
13,2172.06,1.54703,1.57815,1.51219,0.71495,0.59096,0.65473,0.38649,1.43309,1.39649,1.45079,0.009604,0.009604,0.009604
14,2335.67,1.53422,1.54833,1.49894,0.72059,0.59849,0.66368,0.39325,1.41463,1.38591,1.44796,0.009571,0.009571,0.009571
15,2498.69,1.51721,1.5214,1.48794,0.72764,0.61528,0.68018,0.41118,1.38642,1.33101,1.42051,0.009538,0.009538,0.009538
16,2662.12,1.49974,1.48539,1.47496,0.74529,0.60459,0.68279,0.41913,1.36254,1.31329,1.40275,0.009505,0.009505,0.009505
17,2825.94,1.48992,1.46133,1.46141,0.75332,0.62243,0.70102,0.42756,1.35752,1.27766,1.39698,0.009472,0.009472,0.009472
18,2989.36,1.47969,1.42061,1.45287,0.7615,0.63118,0.70991,0.43801,1.33448,1.23914,1.37758,0.009439,0.009439,0.009439
19,3146.82,1.46004,1.40115,1.44194,0.75333,0.6408,0.71016,0.44032,1.34115,1.23421,1.38085,0.009406,0.009406,0.009406
20,3311.25,1.45482,1.39258,1.43266,0.77505,0.63536,0.72196,0.45134,1.31614,1.1953,1.36244,0.009373,0.009373,0.009373
21,3475.34,1.44165,1.36986,1.42554,0.78647,0.65272,0.7307,0.45715,1.31508,1.17571,1.36379,0.00934,0.00934,0.00934
