epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.734,3.69759,4.398,3.4113,0.00227,0.09591,0.00159,0.00042,nan,nan,nan,0.00332857,0.00332857,0.0700429
2,385.704,3.06843,3.83671,2.83261,0.2422,0.06254,0.06033,0.0221,nan,nan,nan,0.00664542,0.00664542,0.0400264
3,572.764,2.5411,3.2993,2.42503,0.17846,0.12913,0.1053,0.04127,nan,nan,nan,0.00994576,0.00994576,0.00999338
4,757.337,2.29114,2.95546,2.17914,0.30588,0.23382,0.20205,0.08213,nan,nan,nan,0.00992575,0.00992575,0.00992575
