epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.642,3.68697,4.38326,3.39758,0.00209,0.14779,0.00213,0.00055,nan,nan,nan,0.00332857,0.00332857,0.0700429
2,382.74,3.0034,3.73322,2.76983,0.4198,0.0943,0.08262,0.03001,nan,nan,nan,0.00663992,0.00663992,0.0400209
3,565.934,2.45281,3.15812,2.33349,0.25936,0.17676,0.14589,0.05641,nan,nan,nan,0.00992927,0.00992927,0.00997689
4,747.116,2.20841,2.80013,2.07806,0.34702,0.28318,0.24286,0.10222,2.06479,2.5685,2.04741,0.009901,0.009901,0.009901
5,928.466,2.08369,2.55141,1.94683,0.41127,0.32531,0.29429,0.12734,1.95077,2.40266,1.93421,0.009868,0.009868,0.009868
6,1109.53,2,2.39006,1.85533,0.50957,0.35463,0.36934,0.17055,1.85871,2.24959,1.82123,0.009835,0.009835,0.009835
7,1290.48,1.92824,2.24535,1.78239,0.52449,0.39534,0.40487,0.18982,1.82693,2.1415,1.76309,0.009802,0.009802,0.009802
8,1471.61,1.88175,2.14959,1.72658,0.5314,0.42115,0.43903,0.20998,1.78415,2.01428,1.71398,0.009769,0.009769,0.009769
9,1652.21,1.83974,2.05087,1.68238,0.59017,0.45001,0.47714,0.23332,1.72497,1.92275,1.65658,0.009736,0.009736,0.009736
10,1832.75,1.80193,1.97983,1.64585,0.62185,0.46162,0.50246,0.24868,1.71114,1.85539,1.618,0.009703,0.009703,0.009703
11,2013.13,1.7628,1.91914,1.61225,0.62965,0.47008,0.51855,0.2713,1.65691,1.78321,1.58014,0.00967,0.00967,0.00967
12,2193.34,1.73722,1.87712,1.59664,0.63688,0.50549,0.54733,0.29293,1.61525,1.71814,1.55339,0.009637,0.009637,0.009637
13,2373.66,1.70692,1.81619,1.56868,0.64813,0.5254,0.56919,0.30774,1.60214,1.67736,1.53643,0.009604,0.009604,0.009604
14,2554.31,1.69456,1.78924,1.55335,0.67575,0.51867,0.57848,0.31251,1.60039,1.63836,1.52643,0.009571,0.009571,0.009571
15,2734.65,1.66847,1.75149,1.5337,0.67055,0.54531,0.59865,0.32943,1.56671,1.59353,1.49729,0.009538,0.009538,0.009538
16,2915.11,1.65065,1.70461,1.51708,0.68703,0.55135,0.61447,0.34178,1.53942,1.55679,1.47917,0.009505,0.009505,0.009505
17,3096.08,1.63726,1.68049,1.50178,0.71276,0.55131,0.62154,0.3509,1.51047,1.52851,1.45374,0.009472,0.009472,0.009472
18,3276.56,1.62052,1.63823,1.4929,0.70613,0.56666,0.6307,0.36025,1.50362,1.48611,1.46127,0.009439,0.009439,0.009439
19,3457.54,1.60173,1.61358,1.48102,0.72536,0.57674,0.64615,0.36893,1.50269,1.45773,1.4465,0.009406,0.009406,0.009406
20,3638.61,1.59603,1.59662,1.46844,0.7112,0.58397,0.65103,0.37482,1.48268,1.44212,1.43109,0.009373,0.009373,0.009373
21,3819.44,1.57931,1.56679,1.46009,0.72841,0.59295,0.66529,0.38908,1.45572,1.41087,1.41412,0.00934,0.00934,0.00934
22,4000.29,1.56807,1.56174,1.45228,0.73111,0.60967,0.67737,0.3979,1.44299,1.37512,1.39938,0.009307,0.009307,0.009307
23,4180.53,1.55942,1.52295,1.44207,0.73704,0.60534,0.67694,0.39751,1.43027,1.37106,1.39059,0.009274,0.009274,0.009274
24,4361.07,1.55181,1.51338,1.43798,0.75477,0.60205,0.6836,0.40582,1.42715,1.34919,1.38665,0.009241,0.009241,0.009241
25,4542.05,1.54009,1.48494,1.42462,0.73109,0.62307,0.69074,0.41021,1.41093,1.33612,1.37745,0.009208,0.009208,0.009208
26,4723.93,1.53191,1.48058,1.42185,0.74059,0.62169,0.69424,0.41741,1.39762,1.31262,1.37025,0.009175,0.009175,0.009175
27,4898.32,1.52287,1.46126,1.41515,0.78028,0.61474,0.70589,0.42515,1.39302,1.30205,1.36367,0.009142,0.009142,0.009142
28,5071.56,1.5036,1.43865,1.40171,0.759,0.62813,0.70501,0.42875,1.37827,1.28033,1.34797,0.009109,0.009109,0.009109
29,5244.12,1.50142,1.43375,1.39793,0.7537,0.64515,0.71493,0.43756,1.37153,1.2525,1.34603,0.009076,0.009076,0.009076
30,5417.03,1.49533,1.42379,1.39245,0.77158,0.63913,0.7205,0.44237,1.35682,1.23947,1.33235,0.009043,0.009043,0.009043
31,5590.31,1.48483,1.40019,1.38667,0.7763,0.63869,0.72166,0.44288,1.3596,1.23945,1.33631,0.00901,0.00901,0.00901
32,5763.43,1.47565,1.38523,1.38157,0.77689,0.64421,0.73009,0.44907,1.34721,1.21523,1.32433,0.008977,0.008977,0.008977
