epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.452,3.77206,4.6188,3.94681,0.00193,0.11317,0.00079,0.00017,3.56954,4.2785,3.74036,0.000166429,0.000166429,0.0668807
2,239.154,3.78975,4.47093,3.61888,0.00229,0.1173,0.00062,0.00011,3.56197,4.26363,3.55581,0.000331918,0.000331918,0.0337129
3,350.391,3.77004,4.41031,3.47397,0.00232,0.13475,0.00071,0.00013,3.54139,4.16724,3.456,0.000496228,0.000496228,0.000543847
4,462.861,3.73708,4.32527,3.40202,0.11362,0.02345,0.00361,0.00094,3.45781,4.10946,3.37746,0.000494696,0.000494696,0.000494696
5,576.609,3.63548,4.1962,3.33286,0.23407,0.02893,0.01415,0.00437,3.32351,4.01706,3.28618,0.000492929,0.000492929,0.000492929
6,689.463,3.43233,4.09504,3.2539,0.15262,0.06023,0.02634,0.00833,3.07876,3.87676,3.17242,0.000491161,0.000491161,0.000491161
7,804.564,3.21503,3.95438,3.12736,0.20572,0.08627,0.04951,0.01569,2.88099,3.69374,3.00363,0.000489393,0.000489393,0.000489393
8,918.662,3.02165,3.77821,2.97071,0.21634,0.11028,0.06076,0.02023,2.75389,3.47626,2.8817,0.000487625,0.000487625,0.000487625
9,1031.94,2.86407,3.62587,2.83493,0.26549,0.1249,0.08206,0.02788,2.6532,3.34639,2.79708,0.000485857,0.000485857,0.000485857
10,1146.26,2.73158,3.47683,2.72135,0.1589,0.15208,0.09401,0.03265,2.55302,3.21884,2.70711,0.000484089,0.000484089,0.000484089
11,1259.16,2.62346,3.35645,2.63844,0.21722,0.16903,0.11613,0.04112,2.49501,3.11619,2.65311,0.000482321,0.000482321,0.000482321
12,1371.06,2.5352,3.25728,2.57073,0.2272,0.20398,0.14145,0.05101,2.38854,2.98494,2.56495,0.000480554,0.000480554,0.000480554
13,1482.66,2.44704,3.15819,2.48674,0.27092,0.20684,0.15737,0.05938,2.33515,2.91447,2.52036,0.000478786,0.000478786,0.000478786
14,1594.79,2.39239,3.07862,2.43973,0.2846,0.21841,0.17744,0.06803,2.26775,2.83184,2.46043,0.000477018,0.000477018,0.000477018
15,1706.15,2.332,3.0032,2.38501,0.30895,0.24174,0.19797,0.077,2.22898,2.7659,2.42088,0.00047525,0.00047525,0.00047525
16,1818.51,2.28305,2.93372,2.33973,0.31047,0.26418,0.21719,0.08487,2.18473,2.71913,2.36959,0.000473482,0.000473482,0.000473482
17,1930.42,2.2403,2.86627,2.2897,0.36362,0.27574,0.24179,0.09846,2.14162,2.64304,2.33514,0.000471714,0.000471714,0.000471714
18,2041.41,2.20393,2.79695,2.25961,0.39631,0.2943,0.26463,0.10906,2.09313,2.57465,2.287,0.000469946,0.000469946,0.000469946
19,2154.34,2.16191,2.74505,2.22358,0.39992,0.31015,0.28858,0.12144,2.05169,2.49758,2.24458,0.000468179,0.000468179,0.000468179
20,2266.88,2.14024,2.70098,2.19255,0.42195,0.31904,0.29885,0.12607,2.03009,2.46277,2.2207,0.000466411,0.000466411,0.000466411
21,2378.23,2.10958,2.66011,2.17153,0.43913,0.33075,0.31584,0.13485,2.00763,2.42862,2.19219,0.000464643,0.000464643,0.000464643
22,2489.86,2.0826,2.62657,2.14224,0.45435,0.34461,0.3349,0.14515,1.97972,2.3756,2.16656,0.000462875,0.000462875,0.000462875
23,2601.37,2.06632,2.57082,2.11838,0.46102,0.36387,0.35136,0.15435,1.95681,2.32972,2.13947,0.000461107,0.000461107,0.000461107
24,2712.57,2.03755,2.53751,2.09238,0.46738,0.37124,0.36029,0.15981,1.92736,2.28393,2.11218,0.000459339,0.000459339,0.000459339
25,2823.97,2.02758,2.50297,2.07946,0.49974,0.38621,0.37476,0.16787,1.9095,2.25458,2.08797,0.000457571,0.000457571,0.000457571
26,2935.45,2.00575,2.4714,2.05518,0.49719,0.39158,0.38232,0.17307,1.89139,2.231,2.07139,0.000455804,0.000455804,0.000455804
27,3046.31,1.98851,2.43805,2.04406,0.489,0.40169,0.38686,0.17854,1.87322,2.20131,2.05167,0.000454036,0.000454036,0.000454036
28,3156.96,1.97122,2.40687,2.0297,0.52886,0.38989,0.40433,0.18858,1.85377,2.16344,2.02997,0.000452268,0.000452268,0.000452268
29,3268.41,1.95728,2.38492,2.0142,0.52882,0.40623,0.41541,0.19339,1.84349,2.13628,2.01406,0.0004505,0.0004505,0.0004505
30,3379.74,1.94629,2.35878,1.99709,0.53799,0.40296,0.41989,0.20003,1.82231,2.11203,1.99641,0.000448732,0.000448732,0.000448732
31,3491.35,1.9338,2.33139,1.98596,0.55848,0.40369,0.43204,0.20607,1.81646,2.08153,1.98734,0.000446964,0.000446964,0.000446964
32,3602.51,1.9185,2.30229,1.97404,0.54613,0.42283,0.43858,0.21269,1.79985,2.0608,1.97246,0.000445196,0.000445196,0.000445196
33,3713.08,1.90924,2.30334,1.96501,0.5513,0.42477,0.44358,0.21448,1.79105,2.03741,1.95352,0.000443429,0.000443429,0.000443429
34,3823.79,1.89418,2.26041,1.94926,0.55871,0.43064,0.45161,0.21924,1.77362,2.02219,1.94166,0.000441661,0.000441661,0.000441661
35,3934.04,1.89145,2.24898,1.94396,0.55174,0.44315,0.45629,0.22358,1.76288,2.00838,1.92958,0.000439893,0.000439893,0.000439893
36,4044.59,1.88085,2.22902,1.93144,0.55317,0.45297,0.46495,0.23011,1.75725,1.97854,1.91963,0.000438125,0.000438125,0.000438125
37,4155.45,1.86386,2.21681,1.92673,0.56913,0.45925,0.4778,0.23824,1.7437,1.95038,1.90366,0.000436357,0.000436357,0.000436357
38,4266.19,1.86077,2.19514,1.90938,0.58161,0.45584,0.48059,0.24003,1.73359,1.93425,1.89581,0.000434589,0.000434589,0.000434589
39,4377.65,1.8543,2.17339,1.90167,0.61011,0.45544,0.48751,0.24573,1.72213,1.91504,1.88377,0.000432821,0.000432821,0.000432821
40,4489.87,1.83855,2.16436,1.89446,0.59783,0.46527,0.50027,0.25443,1.71875,1.89099,1.87985,0.000431054,0.000431054,0.000431054
41,4602.46,1.83042,2.13972,1.88531,0.60011,0.46666,0.50169,0.25546,1.7129,1.88923,1.87214,0.000429286,0.000429286,0.000429286
42,4714.65,1.83056,2.12704,1.87991,0.59309,0.47925,0.50616,0.25914,1.70575,1.87366,1.8612,0.000427518,0.000427518,0.000427518
43,4826.39,1.82343,2.11265,1.87953,0.60953,0.47852,0.5126,0.26322,1.69573,1.86074,1.84937,0.00042575,0.00042575,0.00042575
