epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.32,3.70837,4.50146,3.64975,0.01161,0.01874,0.0029,0.00077,3.38914,4.1809,3.33292,0.00332653,0.00332653,0.0700612
2,261.749,2.96519,3.74597,2.85899,0.13046,0.13912,0.08272,0.02879,2.50243,3.28719,2.62447,0.00663789,0.00663789,0.0400392
3,386.659,2.29065,2.97249,2.30478,0.27172,0.19843,0.15456,0.06014,2.31688,3.19257,2.37854,0.00992724,0.00992724,0.00999527
4,508.473,2.03762,2.54446,2.04729,0.39759,0.30014,0.26261,0.11242,1.97638,2.53885,2.13055,0.009901,0.009901,0.009901
5,631.237,1.90404,2.31036,1.92363,0.45693,0.3712,0.35874,0.16245,1.87526,2.30943,1.96126,0.009868,0.009868,0.009868
6,753.174,1.81941,2.13931,1.84476,0.51684,0.43817,0.43405,0.21094,1.76317,2.0779,1.89569,0.009835,0.009835,0.009835
7,875.154,1.76842,2.00491,1.7896,0.53039,0.42807,0.43529,0.21366,1.73305,2.07066,1.83388,0.009802,0.009802,0.009802
8,996.739,1.73203,1.94421,1.76139,0.58586,0.45883,0.48055,0.24174,1.67928,1.9171,1.79534,0.009769,0.009769,0.009769
9,1118.01,1.69661,1.85563,1.72628,0.60956,0.49378,0.53569,0.28416,1.62192,1.80385,1.75485,0.009736,0.009736,0.009736
10,1239.86,1.6686,1.79377,1.70094,0.62689,0.51074,0.55476,0.30158,1.57723,1.73018,1.70139,0.009703,0.009703,0.009703
11,1361.53,1.62448,1.72909,1.67148,0.62962,0.51506,0.56429,0.3127,1.56873,1.74593,1.6886,0.00967,0.00967,0.00967
12,1482.79,1.6082,1.68713,1.64765,0.65373,0.52523,0.57244,0.31775,1.55928,1.66244,1.67885,0.009637,0.009637,0.009637
13,1604.3,1.59481,1.64463,1.6338,0.69162,0.52678,0.59759,0.33649,1.53539,1.62061,1.63921,0.009604,0.009604,0.009604
14,1725.91,1.57568,1.60209,1.61049,0.69103,0.55061,0.61613,0.35542,1.49468,1.55774,1.62613,0.009571,0.009571,0.009571
15,1847.46,1.55313,1.57859,1.59731,0.67367,0.56863,0.62132,0.36173,1.47238,1.51478,1.59198,0.009538,0.009538,0.009538
16,1968.81,1.53481,1.53908,1.5854,0.71666,0.58707,0.65211,0.38066,1.47156,1.45267,1.58742,0.009505,0.009505,0.009505
17,2090.34,1.51924,1.52011,1.57493,0.72432,0.59056,0.65127,0.38708,1.44545,1.43155,1.56418,0.009472,0.009472,0.009472
18,2211.81,1.51323,1.49171,1.56324,0.72662,0.59344,0.66169,0.39282,1.43316,1.41086,1.55895,0.009439,0.009439,0.009439
19,2333.17,1.50019,1.46168,1.54696,0.71249,0.58498,0.65605,0.39349,1.44383,1.43088,1.55793,0.009406,0.009406,0.009406
20,2454.52,1.48937,1.44556,1.54394,0.73464,0.61441,0.68439,0.41676,1.39978,1.35652,1.52137,0.009373,0.009373,0.009373
21,2575.83,1.47535,1.42582,1.53169,0.74087,0.61392,0.68825,0.41781,1.40379,1.34855,1.52725,0.00934,0.00934,0.00934
22,2697.43,1.46798,1.40676,1.52623,0.73719,0.60633,0.67724,0.41297,1.40306,1.35837,1.51753,0.009307,0.009307,0.009307
23,2818.91,1.46058,1.38972,1.5126,0.72047,0.62693,0.67764,0.41904,1.37127,1.34612,1.50305,0.009274,0.009274,0.009274
24,2940.33,1.45809,1.37464,1.50973,0.7486,0.63339,0.70187,0.43519,1.35717,1.29273,1.47678,0.009241,0.009241,0.009241
25,3061.82,1.44648,1.35814,1.49488,0.74772,0.62698,0.69936,0.43356,1.35663,1.26836,1.48219,0.009208,0.009208,0.009208
26,3183.08,1.4372,1.35161,1.49843,0.74256,0.64559,0.71097,0.44537,1.3378,1.23378,1.46558,0.009175,0.009175,0.009175
27,3304.52,1.42574,1.32263,1.48187,0.74707,0.63164,0.70719,0.43969,1.35436,1.26376,1.47504,0.009142,0.009142,0.009142
28,3426.01,1.41727,1.31507,1.47925,0.75837,0.64898,0.72161,0.45523,1.32733,1.22369,1.45761,0.009109,0.009109,0.009109
29,3547.39,1.40863,1.2884,1.47208,0.76432,0.65528,0.72482,0.45975,1.31402,1.20771,1.44604,0.009076,0.009076,0.009076
30,3668.7,1.40012,1.28331,1.46407,0.77279,0.65721,0.73412,0.4676,1.30973,1.17654,1.43729,0.009043,0.009043,0.009043
31,3789.83,1.39873,1.28089,1.46065,0.76692,0.65145,0.72992,0.46507,1.31276,1.19612,1.43937,0.00901,0.00901,0.00901
32,3911.28,1.39344,1.26322,1.45519,0.77655,0.65917,0.73656,0.46847,1.3089,1.16107,1.43558,0.008977,0.008977,0.008977
33,4032.25,1.38074,1.25968,1.44721,0.77575,0.67551,0.74643,0.47669,1.29674,1.13893,1.42363,0.008944,0.008944,0.008944
34,4153.68,1.37809,1.24162,1.45191,0.77622,0.67507,0.75111,0.48255,1.28625,1.12731,1.41401,0.008911,0.008911,0.008911
35,4275.14,1.38176,1.23258,1.44333,0.77744,0.66769,0.74399,0.47747,1.28516,1.14548,1.41546,0.008878,0.008878,0.008878
36,4396.44,1.3745,1.226,1.44032,0.77933,0.66528,0.7488,0.48187,1.28152,1.12512,1.41142,0.008845,0.008845,0.008845
