epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.427,3.47268,4.1331,3.19738,0.48848,0.09548,0.04946,0.01591,2.86972,3.7974,2.79288,0.00332857,0.00332857,0.0700429
2,399.966,2.65163,3.33456,2.51128,0.22889,0.20543,0.15705,0.05878,2.34485,2.93322,2.33857,0.00663992,0.00663992,0.0400209
3,580.071,2.19369,2.75531,2.10859,0.38129,0.30256,0.2624,0.11019,2.02785,2.54658,2.04594,0.00992927,0.00992927,0.00997689
4,758.014,1.97998,2.40988,1.91552,0.46418,0.36954,0.37229,0.16771,1.8702,2.27157,1.89826,0.009901,0.009901,0.009901
5,936.091,1.84285,2.16071,1.80246,0.57301,0.42264,0.44706,0.22225,1.70981,1.9817,1.76038,0.009868,0.009868,0.009868
6,1114.53,1.76945,2.02104,1.73993,0.60347,0.47306,0.50822,0.26561,1.63506,1.82089,1.6977,0.009835,0.009835,0.009835
7,1293.75,1.71004,1.90814,1.68463,0.6347,0.48167,0.52705,0.27868,1.60579,1.79831,1.66252,0.009802,0.009802,0.009802
8,1471.65,1.67025,1.82858,1.65324,0.61871,0.52112,0.56094,0.30557,1.55122,1.72069,1.60584,0.009769,0.009769,0.009769
9,1649.55,1.64112,1.74997,1.6259,0.6729,0.5253,0.59597,0.33197,1.51736,1.62393,1.58869,0.009736,0.009736,0.009736
10,1826.97,1.61051,1.69572,1.60244,0.68354,0.55103,0.61214,0.33883,1.52594,1.58801,1.58369,0.009703,0.009703,0.009703
11,2004.39,1.58398,1.64632,1.58384,0.69525,0.56323,0.62807,0.3609,1.46998,1.51263,1.54361,0.00967,0.00967,0.00967
12,2181.84,1.56344,1.61493,1.56904,0.70732,0.5678,0.63658,0.3687,1.46177,1.48473,1.53811,0.009637,0.009637,0.009637
13,2359.65,1.54431,1.5707,1.54862,0.71935,0.58808,0.65904,0.38688,1.44253,1.41608,1.52407,0.009604,0.009604,0.009604
14,2537.75,1.5317,1.54582,1.54103,0.72655,0.59756,0.67324,0.40108,1.41793,1.37465,1.49795,0.009571,0.009571,0.009571
15,2715.26,1.51575,1.51988,1.52756,0.73448,0.59477,0.67247,0.4051,1.40362,1.35225,1.48858,0.009538,0.009538,0.009538
16,2893.12,1.50137,1.48275,1.51547,0.75513,0.60633,0.68434,0.4139,1.38226,1.33213,1.46558,0.009505,0.009505,0.009505
17,3070.75,1.49415,1.46197,1.50506,0.75741,0.61287,0.69318,0.42458,1.35648,1.30442,1.45016,0.009472,0.009472,0.009472
18,3248.82,1.48132,1.42143,1.49771,0.74746,0.62141,0.69671,0.42715,1.36332,1.27168,1.44434,0.009439,0.009439,0.009439
19,3426.69,1.46446,1.40773,1.48881,0.75921,0.63517,0.70903,0.43552,1.35837,1.2489,1.43769,0.009406,0.009406,0.009406
20,3604.34,1.46106,1.3973,1.48037,0.75704,0.64624,0.71853,0.4482,1.32838,1.23206,1.42653,0.009373,0.009373,0.009373
21,3782.01,1.44943,1.37497,1.47682,0.78257,0.63673,0.72232,0.44694,1.32367,1.21167,1.4143,0.00934,0.00934,0.00934
22,3959.57,1.43852,1.37224,1.47187,0.7686,0.64197,0.72501,0.45505,1.30753,1.19724,1.40799,0.009307,0.009307,0.009307
23,4137.04,1.43669,1.34014,1.46406,0.79477,0.64647,0.73706,0.4632,1.30657,1.17011,1.40633,0.009274,0.009274,0.009274
24,4314.18,1.4298,1.33232,1.45876,0.78775,0.65156,0.73616,0.46496,1.29334,1.154,1.3942,0.009241,0.009241,0.009241
25,4491.83,1.41808,1.31373,1.44616,0.78444,0.65764,0.74122,0.47056,1.27725,1.13281,1.37991,0.009208,0.009208,0.009208
26,4668.94,1.41328,1.30391,1.44255,0.79652,0.66451,0.74899,0.47688,1.27668,1.12093,1.38205,0.009175,0.009175,0.009175
27,4846.68,1.40635,1.29139,1.43955,0.78824,0.67293,0.75253,0.4797,1.27321,1.11952,1.37731,0.009142,0.009142,0.009142
28,5024.41,1.39104,1.26638,1.4296,0.79347,0.67306,0.75249,0.4832,1.25442,1.08539,1.35837,0.009109,0.009109,0.009109
29,5202.09,1.39244,1.27084,1.42727,0.7992,0.67512,0.75727,0.48739,1.25735,1.08985,1.36494,0.009076,0.009076,0.009076
30,5379.35,1.38954,1.26511,1.42237,0.79092,0.67459,0.75714,0.49208,1.24216,1.07141,1.3502,0.009043,0.009043,0.009043
31,5556.56,1.38116,1.24334,1.41735,0.80854,0.6799,0.76317,0.4963,1.23553,1.05871,1.34367,0.00901,0.00901,0.00901
32,5733.82,1.37139,1.23403,1.4113,0.81031,0.68288,0.76645,0.49735,1.22613,1.04879,1.33569,0.008977,0.008977,0.008977
33,5911.28,1.37026,1.23235,1.41005,0.81329,0.68581,0.77116,0.50363,1.2272,1.03521,1.33466,0.008944,0.008944,0.008944
34,6089.06,1.36424,1.21541,1.40703,0.81562,0.68812,0.77394,0.50587,1.21948,1.01769,1.33458,0.008911,0.008911,0.008911
35,6266.43,1.36011,1.21359,1.40221,0.8172,0.69104,0.77422,0.50816,1.2121,1.0191,1.32673,0.008878,0.008878,0.008878
36,6444.61,1.35831,1.19385,1.39803,0.79549,0.7041,0.77528,0.50939,1.21344,1.00811,1.32029,0.008845,0.008845,0.008845
37,6622.46,1.3464,1.1925,1.39154,0.80997,0.70206,0.77859,0.51402,1.20052,0.99373,1.31229,0.008812,0.008812,0.008812
