epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.027,3.77206,4.6188,3.94681,0.00193,0.11317,0.00079,0.00017,3.56954,4.2785,3.74036,0.000166429,0.000166429,0.0668807
2,272.809,3.78955,4.46819,3.61485,0.0023,0.12019,0.00059,0.00012,3.55808,4.2139,3.55456,0.000329798,0.000329798,0.0337107
3,401.109,3.76966,4.40295,3.47278,0.00258,0.14374,0.0009,0.00018,3.54034,4.17868,3.46414,0.000489867,0.000489867,0.000537486
4,529.292,3.73743,4.32236,3.40466,0.01723,0.01257,0.00542,0.00153,3.47356,4.08222,3.38352,0.00048515,0.00048515,0.00048515
