epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.691,3.7144,4.49593,3.67866,0.13795,0.01913,0.0061,0.00152,3.30217,4.1962,3.27215,0.00332857,0.00332857,0.0700429
2,304.506,2.88831,3.67558,2.78016,0.19954,0.17279,0.1113,0.03985,2.41846,3.16047,2.48811,0.00663992,0.00663992,0.0400209
3,450.253,2.25805,2.92642,2.22007,0.38205,0.27528,0.23518,0.09716,2.06386,2.79811,2.17506,0.00992927,0.00992927,0.00997689
4,575.847,2.0119,2.51088,1.96832,0.46648,0.35949,0.35281,0.15682,1.89395,2.26001,1.93304,0.009901,0.009901,0.009901
5,691.922,1.8785,2.25076,1.83778,0.54611,0.40796,0.42398,0.20639,1.76746,2.063,1.82145,0.009868,0.009868,0.009868
6,807.764,1.80057,2.09551,1.75997,0.60035,0.4366,0.47096,0.24022,1.67202,1.9241,1.72802,0.009835,0.009835,0.009835
7,922.874,1.74009,1.96859,1.69828,0.59843,0.46046,0.49206,0.25702,1.64644,1.89357,1.67906,0.009802,0.009802,0.009802
8,1038.14,1.69806,1.88489,1.65545,0.64682,0.50656,0.56022,0.30144,1.59043,1.71108,1.61224,0.009769,0.009769,0.009769
9,1152.96,1.66684,1.79929,1.62484,0.65461,0.49616,0.55908,0.308,1.55943,1.72086,1.58986,0.009736,0.009736,0.009736
10,1268.25,1.62919,1.74306,1.59679,0.66154,0.56326,0.61063,0.33775,1.53559,1.59903,1.55771,0.009703,0.009703,0.009703
11,1382.7,1.60439,1.68421,1.57274,0.68728,0.55106,0.61097,0.35034,1.48256,1.53904,1.52035,0.00967,0.00967,0.00967
12,1496.62,1.5809,1.64603,1.55727,0.72602,0.57038,0.64412,0.37432,1.465,1.45907,1.48819,0.009637,0.009637,0.009637
13,1610.79,1.56085,1.60016,1.5333,0.6982,0.58678,0.64108,0.37427,1.46034,1.46398,1.48278,0.009604,0.009604,0.009604
14,1725.86,1.5412,1.56914,1.51835,0.73629,0.59031,0.66055,0.39003,1.44136,1.40072,1.47436,0.009571,0.009571,0.009571
15,1841.14,1.52739,1.54411,1.50222,0.7371,0.60878,0.68114,0.40749,1.40415,1.34593,1.44042,0.009538,0.009538,0.009538
16,1956.39,1.50809,1.50273,1.48844,0.75117,0.59789,0.67497,0.40417,1.38979,1.3446,1.42814,0.009505,0.009505,0.009505
17,2070.83,1.49876,1.48009,1.47088,0.74063,0.6218,0.69246,0.42016,1.36909,1.28687,1.40727,0.009472,0.009472,0.009472
18,2185.53,1.48595,1.44018,1.45672,0.75333,0.62329,0.70243,0.42996,1.35806,1.26719,1.39403,0.009439,0.009439,0.009439
19,2299.82,1.47113,1.42016,1.45067,0.75724,0.63473,0.70479,0.43724,1.34721,1.24762,1.3822,0.009406,0.009406,0.009406
20,2414.36,1.46334,1.40577,1.43917,0.76778,0.64738,0.71803,0.44698,1.32624,1.20812,1.37102,0.009373,0.009373,0.009373
21,2528.53,1.44875,1.37851,1.43106,0.79282,0.63443,0.71891,0.44673,1.319,1.19853,1.36777,0.00934,0.00934,0.00934
22,2642.08,1.43957,1.37623,1.42356,0.78336,0.64764,0.72853,0.45855,1.30937,1.17564,1.35154,0.009307,0.009307,0.009307
23,2755.8,1.43425,1.34388,1.41529,0.78789,0.64145,0.73597,0.46639,1.29409,1.15303,1.34108,0.009274,0.009274,0.009274
24,2870.73,1.42333,1.33137,1.40689,0.78603,0.64801,0.73185,0.4644,1.29378,1.13648,1.3423,0.009241,0.009241,0.009241
25,2984.59,1.41547,1.31104,1.39665,0.78212,0.66379,0.74094,0.4739,1.27806,1.12337,1.32645,0.009208,0.009208,0.009208
26,3099.06,1.40878,1.30212,1.39358,0.79138,0.65788,0.74124,0.47343,1.27832,1.12075,1.32635,0.009175,0.009175,0.009175
27,3213.66,1.40113,1.28662,1.38918,0.77529,0.67466,0.7493,0.48108,1.26079,1.10299,1.31506,0.009142,0.009142,0.009142
28,3328.17,1.38825,1.26083,1.38017,0.7813,0.66691,0.74617,0.48567,1.24665,1.09151,1.31008,0.009109,0.009109,0.009109
29,3442.74,1.38496,1.25699,1.37507,0.80005,0.67985,0.75843,0.49178,1.24395,1.06308,1.30319,0.009076,0.009076,0.009076
30,3556.86,1.38202,1.24871,1.37185,0.78233,0.68797,0.76295,0.5,1.23019,1.0451,1.29171,0.009043,0.009043,0.009043
31,3671.61,1.37464,1.23044,1.36492,0.79068,0.68217,0.76372,0.49911,1.22912,1.04299,1.28878,0.00901,0.00901,0.00901
32,3785.45,1.36427,1.21991,1.36445,0.80676,0.67811,0.76373,0.50246,1.22294,1.03125,1.28748,0.008977,0.008977,0.008977
33,3899.5,1.36327,1.22091,1.36257,0.81131,0.68366,0.76944,0.50634,1.21839,1.02805,1.28366,0.008944,0.008944,0.008944
34,4013.34,1.35512,1.20281,1.35582,0.80747,0.68366,0.77127,0.50887,1.2157,1.0115,1.28086,0.008911,0.008911,0.008911
35,4127.92,1.35706,1.20185,1.3568,0.79614,0.70193,0.7745,0.51175,1.20709,1.00905,1.27109,0.008878,0.008878,0.008878
36,4242.48,1.35184,1.18876,1.34969,0.79946,0.69352,0.76862,0.51096,1.20163,1.00542,1.26895,0.008845,0.008845,0.008845
37,4357.18,1.33442,1.17709,1.34159,0.80056,0.69882,0.77644,0.5156,1.19249,0.99077,1.26204,0.008812,0.008812,0.008812
38,4470.88,1.33576,1.17137,1.33731,0.80167,0.70263,0.78122,0.52089,1.19129,0.9759,1.2615,0.008779,0.008779,0.008779
39,4585.34,1.33549,1.16709,1.33734,0.80785,0.70276,0.78416,0.52452,1.17944,0.96918,1.25379,0.008746,0.008746,0.008746
40,4699.55,1.32581,1.15746,1.33165,0.80305,0.71081,0.78381,0.52572,1.17784,0.96548,1.24886,0.008713,0.008713,0.008713
41,4815.03,1.31847,1.14767,1.32805,0.80938,0.71194,0.78359,0.52455,1.17186,0.96789,1.24767,0.00868,0.00868,0.00868
42,4928.9,1.32011,1.13759,1.32574,0.81335,0.71973,0.79032,0.52965,1.17257,0.95462,1.24804,0.008647,0.008647,0.008647
43,5042.08,1.31648,1.14029,1.32701,0.81142,0.71339,0.78973,0.53215,1.16671,0.94426,1.24366,0.008614,0.008614,0.008614
44,5156.12,1.31118,1.12409,1.32101,0.81888,0.7066,0.7883,0.53159,1.16007,0.94399,1.23879,0.008581,0.008581,0.008581
45,5270.05,1.31224,1.12986,1.31943,0.81154,0.71735,0.79223,0.53512,1.15879,0.93087,1.23915,0.008548,0.008548,0.008548
46,5383.75,1.30469,1.11455,1.3156,0.80503,0.73044,0.79603,0.53978,1.15536,0.92232,1.23595,0.008515,0.008515,0.008515
47,5497.47,1.29501,1.11762,1.31315,0.81303,0.72437,0.79748,0.54303,1.14801,0.91622,1.23269,0.008482,0.008482,0.008482
48,5611.72,1.29645,1.10335,1.30557,0.81781,0.72321,0.79727,0.54235,1.14196,0.9128,1.22506,0.008449,0.008449,0.008449
49,5725.73,1.2915,1.09349,1.30384,0.82435,0.72033,0.79737,0.5439,1.14034,0.91237,1.22427,0.008416,0.008416,0.008416
50,5839.29,1.2975,1.09812,1.30481,0.81827,0.72058,0.79959,0.54654,1.13555,0.90799,1.22098,0.008383,0.008383,0.008383
51,5953.71,1.28844,1.08658,1.29777,0.81859,0.7271,0.80192,0.54804,1.13252,0.89912,1.21718,0.00835,0.00835,0.00835
52,6067.73,1.2835,1.08387,1.30146,0.82637,0.72921,0.80378,0.55083,1.1283,0.89673,1.21548,0.008317,0.008317,0.008317
53,6182.47,1.28233,1.0715,1.29564,0.82868,0.72688,0.80416,0.55275,1.12579,0.89182,1.21383,0.008284,0.008284,0.008284
54,6296.15,1.27872,1.07413,1.29394,0.81795,0.73485,0.80524,0.5541,1.12244,0.88316,1.21183,0.008251,0.008251,0.008251
55,6409.77,1.27356,1.06045,1.29512,0.81995,0.73399,0.80561,0.55409,1.12155,0.87894,1.21245,0.008218,0.008218,0.008218
56,6522.99,1.27715,1.06614,1.29598,0.83641,0.73017,0.80766,0.55681,1.11754,0.87609,1.20907,0.008185,0.008185,0.008185
57,6637.23,1.27299,1.05695,1.28781,0.82222,0.7378,0.8085,0.55807,1.11659,0.8722,1.20987,0.008152,0.008152,0.008152
58,6751.59,1.2711,1.0488,1.28615,0.83179,0.73586,0.81117,0.56049,1.11332,0.87022,1.20719,0.008119,0.008119,0.008119
59,6865.88,1.26481,1.05133,1.28467,0.83583,0.73313,0.81168,0.56088,1.11388,0.86382,1.20649,0.008086,0.008086,0.008086
60,6979.2,1.26702,1.0438,1.28482,0.83885,0.73647,0.81337,0.56255,1.10965,0.86032,1.20263,0.008053,0.008053,0.008053
61,7092.76,1.25792,1.03856,1.28073,0.83254,0.74238,0.81274,0.56167,1.10782,0.85822,1.20122,0.00802,0.00802,0.00802
62,7206.17,1.25136,1.03366,1.2766,0.83241,0.74551,0.81286,0.56273,1.10654,0.85666,1.19908,0.007987,0.007987,0.007987
63,7319.95,1.26123,1.03222,1.28096,0.83045,0.7432,0.81299,0.56286,1.10549,0.855,1.19944,0.007954,0.007954,0.007954
64,7432.66,1.25746,1.02385,1.27713,0.8332,0.74337,0.81543,0.56392,1.10384,0.85132,1.19919,0.007921,0.007921,0.007921
65,7546.84,1.24995,1.02521,1.27626,0.83978,0.74197,0.8152,0.56554,1.10066,0.8483,1.19696,0.007888,0.007888,0.007888
66,7661.15,1.24829,1.0157,1.26949,0.83437,0.74468,0.81553,0.56535,1.09932,0.84731,1.19518,0.007855,0.007855,0.007855
67,7775.41,1.24212,1.00955,1.26537,0.82972,0.74919,0.81612,0.56832,1.09704,0.84301,1.19361,0.007822,0.007822,0.007822
68,7888.45,1.24189,1.01252,1.26728,0.83442,0.7485,0.81678,0.56891,1.09563,0.8419,1.19213,0.007789,0.007789,0.007789
69,8002.09,1.24206,1.00861,1.2624,0.83053,0.74922,0.81619,0.56925,1.0956,0.8407,1.19118,0.007756,0.007756,0.007756
70,8116.04,1.24104,1.0039,1.26455,0.83398,0.74877,0.81676,0.56947,1.09511,0.83648,1.19128,0.007723,0.007723,0.007723
71,8229.65,1.23585,1.0051,1.26506,0.83895,0.74547,0.81749,0.57093,1.09304,0.83321,1.19076,0.00769,0.00769,0.00769
72,8344.08,1.23303,0.98808,1.25944,0.83923,0.74488,0.81788,0.57179,1.09112,0.82948,1.18749,0.007657,0.007657,0.007657
73,8457.45,1.23597,0.9911,1.26094,0.84198,0.74584,0.81812,0.57249,1.08903,0.8269,1.18535,0.007624,0.007624,0.007624
74,8571.36,1.23076,0.99058,1.25852,0.84674,0.74654,0.81883,0.57337,1.08719,0.82505,1.18454,0.007591,0.007591,0.007591
75,8684.83,1.2348,0.98277,1.25828,0.84373,0.74903,0.81967,0.57441,1.0858,0.82229,1.18374,0.007558,0.007558,0.007558
76,8798.33,1.22291,0.9768,1.25108,0.8435,0.7498,0.82028,0.57406,1.08478,0.82105,1.18249,0.007525,0.007525,0.007525
77,8912.1,1.22652,0.97655,1.25177,0.84418,0.74911,0.82056,0.57504,1.08372,0.81959,1.18158,0.007492,0.007492,0.007492
78,9025.54,1.22226,0.97489,1.24995,0.84232,0.75132,0.82135,0.57603,1.082,0.81702,1.18059,0.007459,0.007459,0.007459
79,9139.56,1.22554,0.97877,1.25455,0.8407,0.75037,0.822,0.57671,1.08154,0.81401,1.18014,0.007426,0.007426,0.007426
80,9253.04,1.21443,0.97044,1.24858,0.8414,0.75263,0.82264,0.57695,1.08127,0.81242,1.18006,0.007393,0.007393,0.007393
81,9366.77,1.21572,0.96392,1.24811,0.84314,0.75408,0.82344,0.57717,1.08023,0.81182,1.179,0.00736,0.00736,0.00736
82,9480.71,1.22205,0.97505,1.24874,0.84377,0.75273,0.82329,0.57816,1.07848,0.80989,1.1779,0.007327,0.007327,0.007327
83,9593.98,1.21753,0.96355,1.2475,0.84479,0.75356,0.82349,0.57877,1.07819,0.80804,1.17763,0.007294,0.007294,0.007294
84,9707.65,1.21273,0.96072,1.24237,0.84735,0.75307,0.82421,0.57936,1.07747,0.80594,1.17678,0.007261,0.007261,0.007261
85,9821.93,1.21819,0.96205,1.24626,0.84987,0.75151,0.82432,0.57971,1.07728,0.80461,1.17627,0.007228,0.007228,0.007228
86,9935.57,1.2142,0.959,1.2452,0.85006,0.7513,0.82481,0.58001,1.07641,0.80281,1.17574,0.007195,0.007195,0.007195
87,10049.6,1.21213,0.94942,1.23992,0.85067,0.75197,0.82538,0.58096,1.07547,0.80162,1.17499,0.007162,0.007162,0.007162
88,10163.3,1.20476,0.9452,1.23735,0.84334,0.75916,0.82548,0.58116,1.07482,0.80069,1.17454,0.007129,0.007129,0.007129
89,10276.9,1.20178,0.9506,1.23768,0.84776,0.7561,0.82524,0.58164,1.07428,0.80005,1.17418,0.007096,0.007096,0.007096
90,10390.9,1.19918,0.9359,1.23334,0.85276,0.75345,0.82584,0.58205,1.07376,0.79852,1.17383,0.007063,0.007063,0.007063
91,10505.3,1.20277,0.94096,1.23442,0.85495,0.75186,0.82623,0.58223,1.07378,0.7976,1.17374,0.00703,0.00703,0.00703
92,10619.5,1.20319,0.93767,1.23223,0.8547,0.75242,0.82661,0.58298,1.07367,0.79602,1.17352,0.006997,0.006997,0.006997
93,10733.7,1.19983,0.93058,1.23343,0.85373,0.75278,0.82721,0.58347,1.07368,0.79491,1.17359,0.006964,0.006964,0.006964
94,10847.8,1.19631,0.93437,1.23053,0.85352,0.75352,0.82784,0.58387,1.0725,0.79415,1.17272,0.006931,0.006931,0.006931
95,10961.4,1.19921,0.93167,1.23343,0.85093,0.75721,0.82815,0.58423,1.07165,0.79358,1.17205,0.006898,0.006898,0.006898
96,11075.2,1.20116,0.92987,1.22739,0.84749,0.75881,0.82858,0.58452,1.07101,0.79272,1.1714,0.006865,0.006865,0.006865
97,11189.1,1.19888,0.93288,1.23103,0.84803,0.75898,0.8286,0.58479,1.07016,0.79184,1.17103,0.006832,0.006832,0.006832
98,11302.2,1.19206,0.92605,1.22789,0.85072,0.7582,0.82941,0.58539,1.06974,0.79094,1.17058,0.006799,0.006799,0.006799
99,11416.1,1.19503,0.92074,1.22556,0.8502,0.75971,0.82939,0.58535,1.06905,0.79067,1.17013,0.006766,0.006766,0.006766
100,11529.9,1.18949,0.92382,1.22331,0.85102,0.75948,0.82925,0.58583,1.06861,0.78989,1.16969,0.006733,0.006733,0.006733
101,11643.2,1.18309,0.91291,1.22442,0.84852,0.75996,0.82971,0.58629,1.06844,0.78918,1.16957,0.0067,0.0067,0.0067
102,11756.3,1.18333,0.91355,1.22356,0.85242,0.75824,0.82963,0.58654,1.06809,0.78872,1.16922,0.006667,0.006667,0.006667
103,11869.9,1.19308,0.91562,1.2207,0.85154,0.75939,0.82998,0.5866,1.06785,0.78852,1.16904,0.006634,0.006634,0.006634
104,11983.7,1.18084,0.91293,1.22122,0.84756,0.76234,0.83007,0.58697,1.06729,0.78775,1.16831,0.006601,0.006601,0.006601
105,12098,1.18143,0.91326,1.21846,0.85326,0.75768,0.8303,0.58745,1.06685,0.78724,1.1679,0.006568,0.006568,0.006568
106,12212.1,1.18378,0.90917,1.21864,0.84919,0.76097,0.8302,0.58784,1.06654,0.78626,1.1675,0.006535,0.006535,0.006535
107,12325.9,1.17887,0.90903,1.21967,0.84966,0.76196,0.83064,0.58782,1.06615,0.78552,1.16709,0.006502,0.006502,0.006502
