epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.672,3.73374,4.60037,3.82082,0.00131,0.12444,0.00121,0.0002,3.45315,4.2172,3.34079,0.00332653,0.00332653,0.0700612
2,251.746,3.04717,3.93739,2.92309,0.39466,0.1051,0.06379,0.02041,2.57275,3.95899,2.66152,0.00663789,0.00663789,0.0400392
3,366.622,2.31775,3.12072,2.31228,0.28722,0.23446,0.18545,0.0741,2.16511,2.87515,2.25422,0.00992724,0.00992724,0.00999527
4,481.561,2.04925,2.64325,2.03124,0.40624,0.31241,0.28854,0.12616,1.97135,2.45537,2.07169,0.009901,0.009901,0.009901
5,595.989,1.89342,2.37436,1.89801,0.43698,0.3896,0.34717,0.1591,1.83465,2.31978,1.91095,0.009868,0.009868,0.009868
6,710.105,1.81577,2.19813,1.81354,0.51952,0.409,0.40501,0.19622,1.738,2.17133,1.81963,0.009835,0.009835,0.009835
7,823.563,1.76047,2.05287,1.75055,0.54759,0.4472,0.4565,0.22725,1.72052,2.01654,1.79122,0.009802,0.009802,0.009802
8,936.44,1.72047,1.98814,1.72277,0.58785,0.455,0.4842,0.24733,1.66013,1.93474,1.75443,0.009769,0.009769,0.009769
9,1049.51,1.69027,1.90445,1.69064,0.6274,0.46541,0.51709,0.27872,1.59506,1.8815,1.67974,0.009736,0.009736,0.009736
10,1162.79,1.66202,1.8366,1.66311,0.61481,0.50271,0.54086,0.29339,1.57033,1.772,1.66645,0.009703,0.009703,0.009703
11,1276.18,1.61758,1.77167,1.63879,0.64808,0.51037,0.56438,0.30853,1.56151,1.70494,1.63176,0.00967,0.00967,0.00967
12,1388.45,1.60184,1.73191,1.61661,0.66305,0.53229,0.58033,0.32711,1.53543,1.66207,1.62705,0.009637,0.009637,0.009637
13,1501.88,1.5896,1.67839,1.60484,0.66082,0.53541,0.58777,0.33475,1.51173,1.65462,1.59104,0.009604,0.009604,0.009604
14,1615.03,1.57374,1.64145,1.58112,0.68725,0.56034,0.62078,0.35661,1.49675,1.56316,1.57685,0.009571,0.009571,0.009571
15,1728.07,1.54919,1.61773,1.56527,0.67124,0.55853,0.59931,0.34951,1.49244,1.60614,1.5852,0.009538,0.009538,0.009538
16,1841.65,1.53481,1.57417,1.55717,0.71824,0.56624,0.63461,0.37195,1.45311,1.53382,1.54776,0.009505,0.009505,0.009505
17,1954.61,1.51519,1.54109,1.54526,0.69855,0.5843,0.63823,0.37499,1.4492,1.47987,1.53934,0.009472,0.009472,0.009472
18,2067.95,1.51144,1.51644,1.53786,0.72768,0.59153,0.65813,0.39436,1.42369,1.42127,1.50791,0.009439,0.009439,0.009439
19,2180.61,1.4984,1.4965,1.52098,0.71161,0.60082,0.66646,0.40548,1.40946,1.38243,1.50373,0.009406,0.009406,0.009406
