epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.357,3.70253,4.5367,3.73789,0.01188,0.01711,0.00242,0.00058,3.38177,4.28008,3.38716,0.00332653,0.00332653,0.0700612
2,228.77,3.1547,3.89602,3.01081,0.21016,0.10949,0.05925,0.01978,2.67787,3.64543,2.74122,0.00663789,0.00663789,0.0400392
3,325.5,2.50975,3.30835,2.46401,0.27303,0.18203,0.11821,0.04353,2.29488,3.12354,2.37152,0.00992724,0.00992724,0.00999527
4,421.837,2.19284,2.85977,2.12582,0.3197,0.27052,0.205,0.08211,2.0934,2.78905,2.14911,0.009901,0.009901,0.009901
5,517.612,2.03016,2.55054,1.96314,0.45789,0.33281,0.31864,0.13773,1.9488,2.44389,1.9551,0.009868,0.009868,0.009868
6,613.056,1.9383,2.35231,1.86047,0.49042,0.37547,0.37522,0.17431,1.87203,2.23186,1.86556,0.009835,0.009835,0.009835
7,707.607,1.87251,2.19772,1.79199,0.57209,0.4153,0.4328,0.20788,1.77617,2.09443,1.77816,0.009802,0.009802,0.009802
8,802.999,1.8232,2.1197,1.74769,0.56621,0.44265,0.46251,0.23005,1.71324,2.02487,1.71804,0.009769,0.009769,0.009769
9,898.512,1.78564,2.04451,1.71044,0.60632,0.45362,0.49628,0.25485,1.67583,1.92045,1.68778,0.009736,0.009736,0.009736
10,993.911,1.75633,1.97133,1.67678,0.61206,0.47618,0.51779,0.27298,1.63944,1.84403,1.64525,0.009703,0.009703,0.009703
11,1089.48,1.71164,1.90292,1.64105,0.60883,0.49857,0.53371,0.28525,1.62412,1.79426,1.61698,0.00967,0.00967,0.00967
12,1184.04,1.6873,1.85657,1.61401,0.65365,0.51718,0.56145,0.30691,1.58572,1.69897,1.59071,0.009637,0.009637,0.009637
13,1278.96,1.67419,1.81938,1.60379,0.6739,0.50737,0.57252,0.31828,1.55124,1.71479,1.552,0.009604,0.009604,0.009604
14,1374.53,1.6478,1.76745,1.57302,0.64098,0.52722,0.58262,0.32739,1.52781,1.67694,1.52713,0.009571,0.009571,0.009571
15,1472.6,1.624,1.73713,1.55413,0.68734,0.53982,0.60132,0.33779,1.52064,1.64425,1.5242,0.009538,0.009538,0.009538
16,1567.38,1.60131,1.69256,1.53633,0.69054,0.54964,0.6043,0.34149,1.5266,1.58026,1.51334,0.009505,0.009505,0.009505
17,1662.05,1.58603,1.66257,1.52224,0.69712,0.56566,0.6309,0.36898,1.47217,1.52046,1.47772,0.009472,0.009472,0.009472
18,1756.18,1.57892,1.63221,1.51042,0.69088,0.57476,0.62915,0.36881,1.47363,1.50779,1.47234,0.009439,0.009439,0.009439
19,1850.01,1.56145,1.59978,1.49161,0.69507,0.58137,0.64234,0.37918,1.44974,1.47386,1.45811,0.009406,0.009406,0.009406
20,1943.86,1.54933,1.58223,1.48983,0.69463,0.58814,0.64661,0.38588,1.43559,1.46173,1.44257,0.009373,0.009373,0.009373
21,2037.99,1.53771,1.564,1.47898,0.71616,0.59526,0.65326,0.38611,1.4316,1.45671,1.43251,0.00934,0.00934,0.00934
22,2131.91,1.53311,1.54049,1.46838,0.7389,0.59003,0.66725,0.40012,1.42277,1.41363,1.42419,0.009307,0.009307,0.009307
23,2226.61,1.51747,1.52194,1.45447,0.71261,0.61005,0.66597,0.40105,1.40045,1.41377,1.41286,0.009274,0.009274,0.009274
24,2321.51,1.51963,1.50722,1.44886,0.71719,0.60737,0.66645,0.40481,1.3966,1.40131,1.39789,0.009241,0.009241,0.009241
25,2416.28,1.51144,1.4926,1.43935,0.74156,0.60853,0.68267,0.41698,1.37954,1.35645,1.38951,0.009208,0.009208,0.009208
26,2510.79,1.49574,1.47339,1.43564,0.72221,0.61782,0.67424,0.41119,1.38631,1.36032,1.39185,0.009175,0.009175,0.009175
27,2605.35,1.48893,1.44817,1.42682,0.73173,0.63301,0.69771,0.42698,1.3723,1.32164,1.3812,0.009142,0.009142,0.009142
28,2699.94,1.47705,1.44268,1.42111,0.75158,0.62044,0.6963,0.43246,1.35761,1.31832,1.3732,0.009109,0.009109,0.009109
29,2795.07,1.47075,1.40845,1.4119,0.7427,0.62452,0.6947,0.43066,1.34829,1.30231,1.36518,0.009076,0.009076,0.009076
30,2889.86,1.45962,1.40593,1.40321,0.7572,0.63987,0.71088,0.44377,1.34391,1.26944,1.35888,0.009043,0.009043,0.009043
31,2984.45,1.45823,1.39745,1.3992,0.77933,0.63182,0.71661,0.45011,1.33165,1.24573,1.3513,0.00901,0.00901,0.00901
32,3078.61,1.45229,1.3839,1.39526,0.76378,0.65162,0.71815,0.44998,1.33522,1.23722,1.35181,0.008977,0.008977,0.008977
33,3173.93,1.43899,1.3725,1.38497,0.76672,0.64872,0.72041,0.45417,1.32018,1.24778,1.34156,0.008944,0.008944,0.008944
